folderyear,licencersn,licencenumber,licencerevisionnumber,businessname,businesstradename,status,issueddate,expireddate,businesstype,businesssubtype,unit,unittype,house,street,city,province,country,postalcode,localarea,numberofemployees,feepaid,extractdate,geom
98,178766,98-218186,00,Uzma Saleem & Sheikh Saleem,Micro Canada,Cancelled,,,Wholesale  Dealer *Historic*,,,,,,Burnaby,BC,,,,000,,2025-04-22T14:20:59+00:00,
98,178781,98-218201,00,Nature Wonders Florist Ltd,,Gone Out of Business,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,178906,98-218326,00,Kaster Enterprises Ltd,,Gone Out of Business,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,178971,98-218391,00,Head Office,Mariposa Savannah # 012,Issued,1998-02-13,1998-12-31,Wholesale  Dealer *Historic*,,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,179049,98-218469,00,Pacific Mortar Factory Ltd,,Issued,1998-02-11,1998-12-31,Wholesale  Dealer *Historic*,,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,179063,98-218483,00,Papillon Eastern Imports Ltd,,Issued,1998-02-10,1998-12-31,Wholesale  Dealer *Historic*,,,,,,,,CA,V6B 2R9,,000,88.0,2025-04-22T14:20:59+00:00,
98,179067,98-218487,00,Pacific Stk Wood Co Inc,,Issued,1998-02-10,1998-12-31,Wholesale  Dealer *Historic*,,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,179122,98-218542,00,Reid's Art Materials Ltd,,Pending,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,179128,98-218548,00,Residential Ready-Mix Ltd,,Issued,1998-04-14,1998-12-31,Wholesale  Dealer *Historic*,,,,,,,,,,,000,93.0,2025-04-22T14:20:59+00:00,
98,179140,98-218560,00,Safetidor Distributors Inc,,Gone Out of Business,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,179149,98-218569,00,Tegnet International Inc,,Issued,1998-03-11,1998-12-31,Wholesale  Dealer *Historic*,,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,179154,98-218574,00,Selectron Investment & Trading Ltd,,Issued,1998-01-26,1998-12-31,Wholesale  Dealer *Historic*,,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,179155,98-218575,00,Selkirk Springs (canada) Corporation,,Gone Out of Business,1998-01-23,1998-12-31,Wholesale  Dealer *Historic*,,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,179166,98-218586,00,Simon's Club Holdings Inc,,Issued,1998-02-04,1998-12-31,Wholesale  Dealer *Historic*,,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,179175,98-218595,00,Specialty Bulb Products Inc,,Gone Out of Business,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,179198,98-218618,00,Sunpac Building Supplies (canada) Ltd,,Issued,1998-02-04,1998-12-31,Wholesale  Dealer *Historic*,,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,179213,98-218633,00,Teepee Handicrafts Ltd,,Issued,1998-08-10,1998-12-31,Wholesale  Dealer *Historic*,,,,,,West Vancouver,BC,CA,,,000,88.0,2025-04-22T14:20:59+00:00,
98,179237,98-218657,00,Treasureland Gifts Inc,,Pending,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,179269,98-218689,00,Vita Trading Co Ltd,,Gone Out of Business,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,179319,98-218739,00,Isadora Y L Wong (Isadora Wong),Van Lauren Trading,Issued,1998-03-27,1998-12-31,Wholesale  Dealer *Historic*,,,,,,Burnaby,BC,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,179334,98-218754,00,Gao Yuan Trading Company,,Issued,1998-03-27,1998-12-31,Wholesale  Dealer *Historic*,,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,179727,98-219146,00,,,Issued,1998-01-15,1998-12-31,Vending Machines *Historic*,,,,,,,,,,,000,525.0,2025-04-22T14:20:59+00:00,
98,180305,98-219723,00,Boy Scouts Of Canada Vancouver-Coast Region,,Issued,1998-03-18,1998-12-31,Community Association *Historic*,,,,,,,,,,,000,2.0,2025-04-22T14:20:59+00:00,
98,180344,98-219761,00,Duncan Budge Ltd,,Issued,1998-04-16,1998-12-31,Financial Services *Historic*,Accountant/Auditor,,,,,,,,,,000,93.0,2025-04-22T14:20:59+00:00,
98,180405,98-219822,00,Brittiania Lodge,Arvand Investments Corp,Issued,1998-03-26,1998-12-31,Personal Care Home *Historic*,,,,,,,,,,,000,810.0,2025-04-22T14:20:59+00:00,
98,180408,98-219825,00,Janus Centre,(Noreen Boudreau),Issued,1998-03-04,1998-12-31,Personal Care Home *Historic*,,,,,,,,,,,000,144.0,2025-04-22T14:20:59+00:00,
98,180424,98-219841,00,Levi R Labro,,Issued,1998-03-17,1998-12-31,Personal Care Home *Historic*,,,,,,,,,,,000,198.0,2025-04-22T14:20:59+00:00,
98,180737,98-219907,00,Im-Pres Image Company Ltd,,Issued,1998-03-24,1998-12-31,Retail Dealer *Historic*,,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,180779,98-219949,00,The Talent Group Ltd,,Gone Out of Business,,,Talent Agency *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,180786,98-219956,00,Paullin Trading Co,(Liulu-Fen Lin),Pending,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,180844,98-220014,00,(Bahader Dhanda),B D Trucking,Issued,1998-09-17,1998-12-31,Equipment Operator *Historic*,,,,,,Surrey,BC,,,,000,108.0,2025-04-22T14:20:59+00:00,
98,180862,98-220032,00,James F Cook (James Cook),Jim Cook Trucking,Gone Out of Business,,,Equipment Operator *Historic*,,,,,,Surrey,BC,,,,000,,2025-04-22T14:20:59+00:00,
98,180866,98-220036,00,(John Evin),Valkyr Trucking,Inactive,,,Equipment Operator *Historic*,,,,,,Burnaby,BC,,,,000,,2025-04-22T14:20:59+00:00,
98,180869,98-220039,00,Danny's Trucking Ltd,,Inactive,,,Equipment Operator *Historic*,,,,,,Richmond,BC,,,,000,,2025-04-22T14:20:59+00:00,
98,180887,98-220057,00,T A L D Holdings Ltd,,Gone Out of Business,,,Equipment Operator *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,180889,98-220059,00,R B J Trucking,,Gone Out of Business,,,Equipment Operator *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,180912,98-220082,00,(Mohammed Rafiq),M R Trucking,Issued,1998-02-13,1998-12-31,Equipment Operator *Historic*,,,,,,Burnaby,BC,CA,,,000,108.0,2025-04-22T14:20:59+00:00,
98,180920,98-220090,00,(Bhagat Sangha),Sangha Trucking,Inactive,,,Equipment Operator *Historic*,,,,,,Richmond,BC,,,,000,,2025-04-22T14:20:59+00:00,
98,180929,98-220099,00,T A L D Holdings Ltd,,Issued,1998-01-27,1998-12-31,Equipment Operator *Historic*,,,,,,Aldergrove,BC,,,,000,108.0,2025-04-22T14:20:59+00:00,
98,180935,98-220105,00,(Virk Bhagat),,Issued,1998-02-06,1998-12-31,Equipment Operator *Historic*,,,,,,Richmond,BC,,,,000,108.0,2025-04-22T14:20:59+00:00,
98,180946,98-220115,00,Pan Pacific Contractors Ltd,,Gone Out of Business,,,Equipment Operator *Historic*,,,,,,Richmond,BC,CA,,,000,,2025-04-22T14:20:59+00:00,
98,181470,98-220639,00,Canafornia General Contractors Ltd,,Issued,1998-01-26,1998-12-31,Contractor *Historic*,Building,,,,,Surrey,BC,CA,,,000,104.0,2025-04-22T14:20:59+00:00,
98,181655,98-220824,00,,,Issued,1998-01-27,1998-12-31,Vending Machines *Historic*,,,,,,,,,,,000,42.0,2025-04-22T14:20:59+00:00,
98,182330,98-221499,00,United Sports Of America,,Issued,1998-01-29,1998-02-01,Exhibitions/Shows/Concerts *Historic*,Automobile/Motorcycle Racing,,,,,Priarie Village,K,,,,000,99.0,2025-04-22T14:20:59+00:00,
98,183005,98-222169,00,,,Issued,1998-02-02,1998-12-31,Vending Machines *Historic*,,,,,,,,,,,000,21.0,2025-04-22T14:20:59+00:00,
98,183450,98-222614,00,Advantage Waste Specialties Inc,,Issued,1998-02-04,1998-12-31,Scavenging *Historic*,,,,,,Langley,BC,,,,000,179.0,2025-04-22T14:20:59+00:00,
99,210230,99-100562,00,(Edwardo Sosa),Sosa Enterprises,Gone Out of Business,,,Moving/Transfer Service *Historic*,Other,,,,,Richmond,BC,CA,,,000,,2025-04-22T14:20:59+00:00,
99,210563,99-100891,00,St George Transporation Ltd,St George Moving & Storage,Issued,1998-12-31,1999-12-31,Moving/Transfer Service *Historic*,,,,,,Coquitlam,BC,,,,000,90.0,2025-04-22T14:20:59+00:00,
99,210673,99-101001,00,Urgent Courier Service Ltd,,Inactive,1999-02-12,1999-12-31,Moving/Transfer Service *Historic*,Courier/Messenger,,,,,,,,,,000,90.0,2025-04-22T14:20:59+00:00,
99,210735,99-101063,00,Margaret Talbot & Grant Talbot,Marann Holdings,Gone Out of Business,,,Moving/Transfer Service *Historic*,Other,,,,,Richmond,BC,CA,,,000,,2025-04-22T14:20:59+00:00,
99,210741,99-101069,00,First Canadian Logistics Ltd,,Issued,1999-01-06,1999-12-31,Moving/Transfer Service *Historic*,Other,,,,,Richmond,BC,CA,,,000,90.0,2025-04-22T14:20:59+00:00,
99,211175,99-101502,00,Rania Ntalachani,,Issued,1999-02-19,1999-12-31,Seamstress/Tailor *Historic*,,,,,,,,,,,000,90.0,2025-04-22T14:20:59+00:00,
99,211176,99-101503,00,Linda Smith,,Issued,1999-01-26,1999-12-31,Seamstress/Tailor *Historic*,,,,,,,,,,,000,90.0,2025-04-22T14:20:59+00:00,
99,211177,99-101504,00,Shirley E Smith,,Issued,1998-12-31,1999-12-31,Seamstress/Tailor *Historic*,,,,,,,,,,,000,90.0,2025-04-22T14:20:59+00:00,
99,211250,99-101576,00,Queen's Health Centre,,Issued,1999-01-08,1999-12-31,Acupuncturist *Historic*,,,,,,,,,,,000,169.0,2025-04-22T14:20:59+00:00,
99,211270,99-101596,00,Jian Ping H Tao,,Issued,1999-02-02,1999-12-31,Acupuncturist *Historic*,,,,,,,,,,,000,169.0,2025-04-22T14:20:59+00:00,
99,211569,99-101895,00,E & H Holdings Ltd,,Issued,1999-01-26,1999-12-31,Auto Parking Lot/Parkade *Historic*,,,,,,,,,,,000,90.0,2025-04-22T14:20:59+00:00,
99,211585,99-101911,00,EL & EL Investments Ltd,,Gone Out of Business,,,Auto Parking Lot/Parkade *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
99,211612,99-101938,00,Mcgavin Properties Ltd,,Issued,1999-01-28,1999-12-31,Auto Parking Lot/Parkade *Historic*,,,,,,,,,,,000,90.0,2025-04-22T14:20:59+00:00,
99,211633,99-101959,00,Rotherham Holdings Ltd,,Issued,1999-01-25,1999-12-31,Auto Parking Lot/Parkade *Historic*,,,,,,,,,,,000,90.0,2025-04-22T14:20:59+00:00,
99,211642,99-101968,00,West 11th Ave Parking Lot,VGH Parking Lot,Issued,1999-02-11,1999-12-31,Auto Parking Lot/Parkade *Historic*,,,,,,,,,,,000,90.0,2025-04-22T14:20:59+00:00,
99,211788,99-102107,00,Caspian Electric Ltd,,Gone Out of Business,,,Electrical Contractor *Historic*,,,,,,Port Coquitlam,BC,,,,000,,2025-04-22T14:20:59+00:00,
98,211833,98-248906,00,Robson Suites Properties Ltd,Robson Suites,Cancelled,,,Apartment House *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
99,213442,99-103750,00,William E Henke,,Issued,1999-02-11,1999-12-31,Auctioneer *Historic*,,,,,,Langley,bc,,,,000,90.0,2025-04-22T14:20:59+00:00,
99,215058,99-249628,00,Al Premji Enterprises Ltd,,Issued,1999-02-18,1999-12-31,Self-serve Station *Historic*,,,,,,,,,,,000,135.0,2025-04-22T14:20:59+00:00,
99,215484,99-250054,00,Jain Bo Wang (Jain Wang),Mainland Carpet,Issued,1999-05-11,1999-12-31,Carpet/Upholstery Cleaner *Historic*,,,,,,Burnaby,BC,CA,,,000,110.0,2025-04-22T14:20:59+00:00,
99,216761,99-251296,00,Nu-Tech Alarms Ltd,,Issued,1998-12-10,1999-12-31,Electrical-Security Alarm Installation *Historic*,,,,,,Surrey,BC,CA,,,000,90.0,2025-04-22T14:20:59+00:00,
99,216778,99-251311,00,Promaster Alarm Services Inc,,Issued,1999-04-01,1999-12-31,Electrical-Security Alarm Installation *Historic*,,,,,,Surrey,BC,,,,000,90.0,2025-04-22T14:20:59+00:00,
99,216885,99-251418,00,Champion Electronics Ltd,,Gone Out of Business,,,Electrical-Security Alarm Installation *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
99,216893,99-251426,00,Sentry Alarms Inc,,Issued,1999-01-14,1999-12-31,Electrical-Security Alarm Installation *Historic*,,,,,,Abbotsford,BC,,,,000,90.0,2025-04-22T14:20:59+00:00,
99,217014,99-251526,00,Coastal Irrigation Inc,,Issued,1999-01-18,1999-12-31,Contractor - Special Trades *Historic*,Irrigation,,,,,Surrey,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217048,99-251555,00,Kamaljit Kaur Sall (Kamaljit Sall),All Right Trucking,Gone Out of Business,,,Contractor - Special Trades *Historic*,Demolition/Excavation,,,,,Richmond,BC,,,,000,,2025-04-22T14:20:59+00:00,
99,217055,99-251562,00,(Tiberto Bernardi),Bernardi & Bernardi,Gone Out of Business,,,Contractor *Historic*,Other,,,,,Surrey,BC,,,,000,,2025-04-22T14:20:59+00:00,
99,217065,99-251572,00,(Gary Brown),,Gone Out of Business,,,Contractor - Special Trades *Historic*,Signs,,,,,Langley,BC,CA,,,000,,2025-04-22T14:20:59+00:00,
99,217087,99-251594,00,(Steven Soriano),The Mud Doctor Drywall Finishing,Issued,1999-06-08,1999-12-31,Contractor - Special Trades *Historic*,Other,,,,,Burnaby,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217101,99-251608,00,Grant William Belansky (Grant Belansky),Belconn Construction,Gone Out of Business,,,Contractor *Historic*,Building,,,,,Aldergrove,BC,CA,,,000,,2025-04-22T14:20:59+00:00,
99,217108,99-251615,00,Hiromitsu M Akitaya (Hiromitsu Akitaya),Hiro Construction,Issued,1999-03-09,1999-12-31,Contractor *Historic*,Building,,,,,Burnaby,BC,CA,,,000,115.0,2025-04-22T14:20:59+00:00,
99,217110,99-251617,00,Aberdane Construction Ltd,,Issued,1999-02-19,1999-12-31,Contractor *Historic*,Building,,,,,North Vancouver,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217124,99-251631,00,Anniwan Enterprises Ltd,,Gone Out of Business,,,Contractor *Historic*,Building,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
99,217125,99-251632,00,Appleton Contracting Ltd,,Issued,1999-04-26,1999-12-31,Contractor *Historic*,Building,,,,,New Westminster,BC,,,,000,121.0,2025-04-22T14:20:59+00:00,
99,217134,99-251641,00,(Tony Armagno),Tony Armagno Contractor,Issued,1999-01-05,1999-12-31,Contractor *Historic*,Building,,,,,Richmond,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217139,99-251646,00,Avia Construction Ltd,,Issued,1999-03-09,1999-12-31,Contractor *Historic*,Building,,,,,Surrey,BC,CA,,,000,115.0,2025-04-22T14:20:59+00:00,
99,217184,99-251691,00,Burnaby Construction Ltd,,Issued,1999-01-18,1999-12-31,Contractor *Historic*,Building,,,,,Burnaby,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217388,99-251895,00,Polar Industries Ltd,,Gone Out of Business,,,Contractor *Historic*,Building,,,,,Coquitlam,BC,,,,000,,2025-04-22T14:20:59+00:00,
99,217419,99-251926,00,Fraserview Construction Co Ltd,,Gone Out of Business,,,Contractor *Historic*,Building,,,,,Richmond,BC,CA,,,000,,2025-04-22T14:20:59+00:00,
99,217527,99-252034,00,Playtech Distributors Inc,,Issued,1999-02-04,1999-12-31,Contractor - Special Trades *Historic*,Other,,,,,Richmond,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217553,99-252060,00,Harney Construction Ltd,,Issued,1999-01-08,1999-12-31,Contractor *Historic*,Building,,,,,West Vancouver,BC,CA,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217616,99-252123,00,Go On Holdings Ltd,,Issued,1999-02-18,1999-12-31,Contractor *Historic*,Building,,,,,Richmond,BC,CA,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217636,99-252143,00,Imperial Paving Limited,,Issued,1999-01-20,1999-12-31,Contractor *Historic*,Building,,,,,Burnaby,BC,CA,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217657,99-252164,00,Validare Construction Management Ltd,Avion Interior Contracting,Issued,1999-01-27,1999-12-31,Contractor *Historic*,Building,,,,,New Westminster,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217660,99-252167,00,(Tien Jin),,Issued,1999-01-18,1999-12-31,Contractor *Historic*,Building,,,,,Port Coquitlam,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217673,99-252180,00,(David Seed),D J Ross Construction,Issued,1999-01-07,1999-12-31,Contractor *Historic*,Building,,,,,Burnaby,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217698,99-252205,00,Kedco Constructors Ltd,,Issued,1999-03-09,1999-12-31,Contractor *Historic*,Building,,,,,Fort Langley,BC,CA,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217794,99-252301,00,D Litchfield And Co Ltd,,Issued,1999-01-15,1999-12-31,Contractor *Historic*,Building,,,,,Port Coquitlam,BC,CA,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217811,99-252318,00,Cappawhite Construction Mgmt Inc,,Issued,1999-01-19,1999-12-31,Contractor *Historic*,Building,,,,,South Surrey,bc,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217832,99-252339,00,(Brian Dixon),Dixon Cable Laying Co,Issued,1999-02-22,1999-12-31,Contractor - Special Trades *Historic*,Building,,,,,Delta,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217936,99-252443,00,Nomura Renovation & Repair,,Issued,1999-01-07,1999-12-31,Contractor *Historic*,Alterations & Repairs,,,,,,,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,217951,99-252458,00,P T General Contractors Ltd,,Issued,1999-02-09,1999-12-31,Contractor *Historic*,Building,,,,,Coquitlam,BC,CA,,,000,110.0,2025-04-22T14:20:59+00:00,
99,218105,99-252612,00,Ken Wai Yuen Li (Ken Li),,Gone Out of Business,,,Contractor *Historic*,Other,,,,,Burnaby,BC,,,,000,,2025-04-22T14:20:59+00:00,
99,218142,99-252649,00,Zarin Construction Ltd,,Issued,1999-03-09,1999-12-31,Contractor *Historic*,Other,,,,,Surrey,BC,CA,,,000,115.0,2025-04-22T14:20:59+00:00,
99,218153,99-252660,00,Coast Mountain Construction Ltd,,Gone Out of Business,,,Contractor *Historic*,Other,,,,,North Vancouver,BC,CA,,,000,,2025-04-22T14:20:59+00:00,
99,218261,99-252768,00,A & B Paving Co Ltd,,Issued,1999-01-07,1999-12-31,Contractor - Special Trades *Historic*,Other,,,,,Burnaby,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,218275,99-252782,00,Alpha Tent & Awning Ltd,,Issued,1999-03-04,1999-12-31,Contractor - Special Trades *Historic*,Stucco,,,,,Burnaby,BC,CA,,,000,121.0,2025-04-22T14:20:59+00:00,
99,218280,99-252787,00,Apollo Sheet Metal Ltd,,Issued,1999-01-28,1999-12-31,Sheet Metal Works *Historic*,Other,,,,,Coquitlam,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,218295,99-252802,00,Benton & Overbury Ltd,,Issued,1999-03-04,1999-12-31,Contractor - Special Trades *Historic*,Other,,,,,Surrey,BC,,,,000,121.0,2025-04-22T14:20:59+00:00,
99,218320,99-252827,00,C & S Ceramic Tile Contractors Co Ltd,,Issued,1999-01-22,1999-12-31,Contractor - Special Trades *Historic*,Tiler,,,,,Burnaby,BC,CA,,,000,110.0,2025-04-22T14:20:59+00:00,
99,218342,99-252849,00,James M Collier (James Collier),Colliers Irrigation Services,Issued,1999-03-16,1999-12-31,Contractor - Special Trades *Historic*,Irrigation,,,,,Cloverdale,BC,,,,000,115.0,2025-04-22T14:20:59+00:00,
99,218347,99-252854,00,Component Structures (1981) Ltd,Panel Products,Issued,1999-01-22,1999-12-31,Contractor - Special Trades *Historic*,Masonry,,,,,Richmond,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,218388,99-252895,00,Pedre Contractors Ltd,,Issued,1999-02-04,1999-12-31,Contractor - Special Trades *Historic*,Demolition/Excavation,,,,,Burnaby,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,218391,99-252898,00,Protech Welding Ltd,,Issued,1999-01-20,1999-12-31,Contractor - Special Trades *Historic*,Other,,,,,North Vancouver,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,218393,99-252900,00,Landrock Excavating Co Ltd,,Issued,1999-07-29,1999-12-31,Contractor - Special Trades *Historic*,Demolition/Excavation,,,,,Burnaby,BC,,,,000,121.0,2025-04-22T14:20:59+00:00,
99,218401,99-252908,00,(Gordon McLeod),McLeod Masonery Group,Issued,1999-01-22,1999-12-31,Contractor - Special Trades *Historic*,Masonry,,,,,Sechelt,BC,,,,000,110.0,2025-04-22T14:20:59+00:00,
99,218414,99-252921,00,Trevor Douglas Farenholtz (Trevor Farenholtz),Aquaflow Irrigation Systems,Gone Out of Business,,,Contractor - Special Trades *Historic*,Irrigation,,,,,North Vancouver,BC,CA,,,000,,2025-04-22T14:20:59+00:00,
99,218443,99-252950,00,Foremost Lighting & Sign Service Ltd,,Issued,1999-02-16,1999-12-31,Contractor - Special Trades *Historic*,Signs,,,,,Surrey,BC,CA,,,000,110.0,2025-04-22T14:20:59+00:00,
