month_start,count,date,is_crisis
2005-12-01,661,2005-12-01,0
2006-01-01,776,2006-01-01,0
2006-02-01,136,2006-02-01,0
2006-03-01,80,2006-03-01,0
2006-04-01,24,2006-04-01,0
2006-05-01,29,2006-05-01,0
2006-06-01,20,2006-06-01,0
2006-07-01,13,2006-07-01,0
2006-08-01,16,2006-08-01,0
2006-09-01,7,2006-09-01,0
2006-10-01,7,2006-10-01,0
2006-11-01,46,2006-11-01,0
2006-12-01,132,2006-12-01,0
2007-01-01,140,2007-01-01,0
2007-02-01,15,2007-02-01,0
2007-03-01,16,2007-03-01,0
2007-04-01,7,2007-04-01,0
2007-05-01,6,2007-05-01,0
2007-06-01,1,2007-06-01,0
2007-07-01,0,2007-07-01,0
2007-08-01,0,2007-08-01,0
2007-09-01,0,2007-09-01,0
2007-10-01,1,2007-10-01,0
2007-11-01,49,2007-11-01,0
2007-12-01,78,2007-12-01,0
2008-01-01,164,2008-01-01,1
2008-02-01,55,2008-02-01,1
2008-03-01,19,2008-03-01,1
2008-04-01,11,2008-04-01,1
2008-05-01,17,2008-05-01,1
2008-06-01,9,2008-06-01,1
2008-07-01,10,2008-07-01,1
2008-08-01,10,2008-08-01,1
2008-09-01,9,2008-09-01,1
2008-10-01,9,2008-10-01,1
2008-11-01,43,2008-11-01,1
2008-12-01,91,2008-12-01,1
2009-01-01,130,2009-01-01,1
2009-02-01,40,2009-02-01,1
2009-03-01,29,2009-03-01,1
2009-04-01,20,2009-04-01,1
2009-05-01,19,2009-05-01,1
2009-06-01,18,2009-06-01,1
2009-07-01,15,2009-07-01,1
2009-08-01,18,2009-08-01,1
2009-09-01,14,2009-09-01,1
2009-10-01,14,2009-10-01,1
2009-11-01,31,2009-11-01,1
2009-12-01,106,2009-12-01,1
2010-01-01,108,2010-01-01,0
2010-02-01,32,2010-02-01,0
2010-03-01,29,2010-03-01,0
2010-04-01,20,2010-04-01,0
2010-05-01,13,2010-05-01,0
2010-06-01,20,2010-06-01,0
2010-07-01,12,2010-07-01,0
2010-08-01,17,2010-08-01,0
2010-09-01,10,2010-09-01,0
2010-10-01,15,2010-10-01,0
2010-11-01,13,2010-11-01,0
2010-12-01,34,2010-12-01,0
2011-01-01,35,2011-01-01,0
2011-02-01,16,2011-02-01,0
2011-03-01,4,2011-03-01,0
2011-04-01,3,2011-04-01,0
2011-05-01,0,2011-05-01,0
2011-06-01,3,2011-06-01,0
2011-07-01,1,2011-07-01,0
2011-08-01,1,2011-08-01,0
2011-09-01,0,2011-09-01,0
2011-10-01,2,2011-10-01,0
2011-11-01,10,2011-11-01,0
2011-12-01,20,2011-12-01,0
2012-01-01,36,2012-01-01,0
2012-02-01,4,2012-02-01,0
2012-03-01,3,2012-03-01,0
2012-04-01,1,2012-04-01,0
2012-05-01,2,2012-05-01,0
2012-06-01,0,2012-06-01,0
2012-07-01,1,2012-07-01,0
2012-08-01,0,2012-08-01,0
2012-09-01,0,2012-09-01,0
2012-10-01,0,2012-10-01,0
2012-11-01,0,2012-11-01,0
2012-12-01,0,2012-12-01,0
2013-01-01,0,2013-01-01,0
2013-02-01,0,2013-02-01,0
2013-03-01,0,2013-03-01,0
2013-04-01,0,2013-04-01,0
2013-05-01,0,2013-05-01,0
2013-06-01,0,2013-06-01,0
2013-07-01,0,2013-07-01,0
2013-08-01,0,2013-08-01,0
2013-09-01,0,2013-09-01,0
2013-10-01,0,2013-10-01,0
2013-11-01,0,2013-11-01,0
2013-12-01,0,2013-12-01,0
2014-01-01,0,2014-01-01,0
2014-02-01,0,2014-02-01,0
2014-03-01,0,2014-03-01,0
2014-04-01,0,2014-04-01,0
2014-05-01,1,2014-05-01,0
2014-06-01,0,2014-06-01,0
2014-07-01,0,2014-07-01,1
2014-08-01,0,2014-08-01,1
2014-09-01,0,2014-09-01,1
2014-10-01,0,2014-10-01,1
2014-11-01,0,2014-11-01,1
2014-12-01,0,2014-12-01,1
2015-01-01,0,2015-01-01,1
2015-02-01,0,2015-02-01,1
2015-03-01,0,2015-03-01,1
2015-04-01,0,2015-04-01,1
2015-05-01,0,2015-05-01,1
2015-06-01,0,2015-06-01,1
2015-07-01,0,2015-07-01,1
2015-08-01,0,2015-08-01,1
2015-09-01,0,2015-09-01,1
2015-10-01,0,2015-10-01,1
2015-11-01,0,2015-11-01,1
2015-12-01,0,2015-12-01,1
2016-01-01,811,2016-01-01,1
2016-02-01,0,2016-02-01,1
2016-03-01,0,2016-03-01,1
2016-04-01,0,2016-04-01,1
2016-05-01,0,2016-05-01,1
2016-06-01,0,2016-06-01,1
2016-07-01,0,2016-07-01,1
2016-08-01,0,2016-08-01,1
2016-09-01,0,2016-09-01,1
2016-10-01,0,2016-10-01,1
2016-11-01,0,2016-11-01,1
2016-12-01,0,2016-12-01,1
2017-01-01,540,2017-01-01,0
2017-02-01,0,2017-02-01,0
2017-03-01,0,2017-03-01,0
2017-04-01,0,2017-04-01,0
2017-05-01,0,2017-05-01,0
2017-06-01,0,2017-06-01,0
2017-07-01,0,2017-07-01,0
2017-08-01,0,2017-08-01,0
2017-09-01,0,2017-09-01,0
2017-10-01,0,2017-10-01,0
2017-11-01,0,2017-11-01,0
2017-12-01,0,2017-12-01,0
2018-01-01,1256,2018-01-01,0
2018-02-01,0,2018-02-01,0
2018-03-01,0,2018-03-01,0
2018-04-01,0,2018-04-01,0
2018-05-01,0,2018-05-01,0
2018-06-01,0,2018-06-01,0
2018-07-01,0,2018-07-01,0
2018-08-01,0,2018-08-01,0
2018-09-01,0,2018-09-01,0
2018-10-01,0,2018-10-01,0
2018-11-01,0,2018-11-01,0
2018-12-01,0,2018-12-01,0
2019-01-01,2059,2019-01-01,0
2019-02-01,0,2019-02-01,0
2019-03-01,0,2019-03-01,0
2019-04-01,0,2019-04-01,0
2019-05-01,0,2019-05-01,0
2019-06-01,0,2019-06-01,0
2019-07-01,0,2019-07-01,0
2019-08-01,0,2019-08-01,0
2019-09-01,0,2019-09-01,0
2019-10-01,0,2019-10-01,0
2019-11-01,0,2019-11-01,0
2019-12-01,0,2019-12-01,0
2020-01-01,383,2020-01-01,0
2020-02-01,0,2020-02-01,0
2020-03-01,0,2020-03-01,1
2020-04-01,0,2020-04-01,1
2020-05-01,0,2020-05-01,1
2020-06-01,0,2020-06-01,1
2020-07-01,0,2020-07-01,1
2020-08-01,0,2020-08-01,1
2020-09-01,0,2020-09-01,1
2020-10-01,0,2020-10-01,1
2020-11-01,0,2020-11-01,1
2020-12-01,0,2020-12-01,1
2021-01-01,0,2021-01-01,1
2021-02-01,0,2021-02-01,1
2021-03-01,0,2021-03-01,1
2021-04-01,0,2021-04-01,1
2021-05-01,0,2021-05-01,1
2021-06-01,0,2021-06-01,1
2021-07-01,0,2021-07-01,1
2021-08-01,0,2021-08-01,1
2021-09-01,0,2021-09-01,1
2021-10-01,0,2021-10-01,1
2021-11-01,0,2021-11-01,1
2021-12-01,0,2021-12-01,1
2022-01-01,1227,2022-01-01,1
2022-02-01,0,2022-02-01,1
2022-03-01,0,2022-03-01,1
2022-04-01,0,2022-04-01,1
2022-05-01,0,2022-05-01,1
2022-06-01,0,2022-06-01,1
2022-07-01,0,2022-07-01,1
2022-08-01,0,2022-08-01,1
2022-09-01,0,2022-09-01,1
2022-10-01,0,2022-10-01,1
2022-11-01,0,2022-11-01,1
2022-12-01,0,2022-12-01,1
2023-01-01,8718,2023-01-01,1
2023-02-01,0,2023-02-01,1
2023-03-01,0,2023-03-01,1
2023-04-01,0,2023-04-01,1
2023-05-01,0,2023-05-01,1
2023-06-01,0,2023-06-01,1
2023-07-01,0,2023-07-01,1
2023-08-01,0,2023-08-01,1
2023-09-01,0,2023-09-01,1
2023-10-01,0,2023-10-01,1
2023-11-01,0,2023-11-01,1
2023-12-01,0,2023-12-01,1
2024-01-01,3054,2024-01-01,0
